Source,Target
Aenesidemus,Antiochus of Ascalon
Aenesidemus,Arcesilaus
Aenesidemus,Carneades
Aenesidemus,Cicero
Aenesidemus,Clitomachus
Aenesidemus,Philo of Larissa
Aenesidemus,Plato
Aenesidemus,Pyrrho
Aenesidemus,Timon of Phlius
Aenesidemus,Agrippa the Sceptic
Aenesidemus,Sextus Empiricus
Aenesidemus,David Hume
Aenesidemus,Immanuel Kant
Aenesidemus,Karl Leonhard Reinhold
Aenesidemus,Gottlob Ernst Schulze
Aenesidemus,Robert Fogelin
Aenesidemus,Benson Mates
Agastya,Angiras
Agastya,Ashtavakra
Agastya,Dirghatamas
Agastya,Jaimini
Agastya,Kapila
Agastya,Kanada
Agastya,Lopamudra
Agastya,Markandeya
Agastya,Parashara
Agastya,Shvetashvatara
Agastya,Vasishtha
Agastya,Yajnavalkya
Agastya,Abhinavagupta
Agastya,Adi Shankara
Agastya,Jayanta Bhatta
Agastya,Valluvar
Agastya,Akka Mahadevi
Agastya,Bhoja
Agastya,Basava
Agastya,Gangesha Upadhyaya
Agastya,Khana
Agastya,Kabir
Agastya,Narahari Tirtha
Agastya,Ramanuja
Agastya,Siddheshwar
Agastya,Vedanta Desika
Agastya,Raghunatha Siromani
Agastya,Edwin Bryant
Alcibiades,Anaxagoras
Alcibiades,Anaximander
Alcibiades,Antisthenes
Alcibiades,Aristotle
Alcibiades,Cicero
Alcibiades,Democritus
Alcibiades,Diagoras
Alcibiades,Empedocles
Alcibiades,Epicurus
Alcibiades,Gorgias
Alcibiades,Hippias
Alcibiades,Hippocrates
Alcibiades,Isocrates
Alcibiades,Leucippus
Alcibiades,Parmenides
Alcibiades,Plato
Alcibiades,Protagoras
Alcibiades,Pythagoras
Alcibiades,Socrates
Alcibiades,Thales
Alcibiades,Theophrastus
Alcibiades,Thucydides
Alcibiades,Xenophon
Alcibiades,Aristides
Alcibiades,Arius
Alcibiades,Lucian
Alcibiades,Leo Strauss
Alcmaeon of Croton,Aenesidemus
Alcmaeon of Croton,Anaxagoras
Alcmaeon of Croton,Anaximander
Alcmaeon of Croton,Anniceris
Alcmaeon of Croton,Antisthenes
Alcmaeon of Croton,Arcesilaus
Alcmaeon of Croton,Archytas
Alcmaeon of Croton,Aristotle
Alcmaeon of Croton,Callicles
Alcmaeon of Croton,Carneades
Alcmaeon of Croton,Chrysippus
Alcmaeon of Croton,Cicero
Alcmaeon of Croton,Cleanthes
Alcmaeon of Croton,Cleobulus
Alcmaeon of Croton,Democritus
Alcmaeon of Croton,Diodorus Cronus
Alcmaeon of Croton,Empedocles
Alcmaeon of Croton,Epicurus
Alcmaeon of Croton,Epimenides
Alcmaeon of Croton,Euclid of Megara
Alcmaeon of Croton,Gorgias
Alcmaeon of Croton,Hegesias of Cyrene
Alcmaeon of Croton,Hippasus
Alcmaeon of Croton,Hippias
Alcmaeon of Croton,Hippocrates
Alcmaeon of Croton,Leucippus
Alcmaeon of Croton,Lucretius
Alcmaeon of Croton,Menedemus
Alcmaeon of Croton,Metrodorus of Lampsacus
Alcmaeon of Croton,Panaetius
Alcmaeon of Croton,Parmenides
Alcmaeon of Croton,Philo of Larissa
Alcmaeon of Croton,Plato
Alcmaeon of Croton,Posidonius
Alcmaeon of Croton,Prodicus
Alcmaeon of Croton,Protagoras
Alcmaeon of Croton,Pyrrho
Alcmaeon of Croton,Pythagoras
Alcmaeon of Croton,Socrates
Alcmaeon of Croton,Speusippus
Alcmaeon of Croton,Stilpo
Alcmaeon of Croton,Strato of Lampsacus
Alcmaeon of Croton,Thales
Alcmaeon of Croton,Theano
Alcmaeon of Croton,Theophrastus
Alcmaeon of Croton,Thrasymachus
Alcmaeon of Croton,Timon of Phlius
Alcmaeon of Croton,Xenocrates
Alcmaeon of Croton,Xenophon
Alcmaeon of Croton,Zeno of Citium
Alcmaeon of Croton,Zeno of Sidon
Alcmaeon of Croton,Alcinous
Alcmaeon of Croton,Alexander of Aphrodisias
Alcmaeon of Croton,Ammonius Hermiae
Alcmaeon of Croton,Ammonius Saccas
Alcmaeon of Croton,Apollonius of Tyana
Alcmaeon of Croton,Apuleius
Alcmaeon of Croton,Marcus Aurelius
Alcmaeon of Croton,Calcidius
Alcmaeon of Croton,Clement of Alexandria
Alcmaeon of Croton,Damascius
Alcmaeon of Croton,Diogenes of Oenoanda
Alcmaeon of Croton,Epictetus
Alcmaeon of Croton,Favorinus
Alcmaeon of Croton,Galen
Alcmaeon of Croton,Iamblichus
Alcmaeon of Croton,Lucian
Alcmaeon of Croton,Lucius Annaeus Cornutus
Alcmaeon of Croton,Numenius of Apamea
Alcmaeon of Croton,Philostratus
